
"AMD uProf (Version:5.3.280.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/eshan/dev/js/target/release/js"
Command Line Arguments:,"target/release/js"
Working Directory:,"/home/eshan/dev/AMDuProf_Linux_x64_5.3.280/bin"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(256)"
Operating System:,"Linux Ubuntu 24.04.1 LTS-64 Kernel:6.8.0-85-generic"
Collect Command:,"./AMDuProfCLI collect --config hotspots -o /home/eshan/dev/sessions/ --pid 3425504"
Report Command:,"./AMDuProfCLI report --inline --detail -g --cutoff 0 -i /home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"

PROFILE DETAILS
Profile Session Type:,"Hotspots"
Profile Scope:,"Single Application"
CPU Mask:,"0-255"
CPU Affinity Mask:,"0-255"
Profile Start Time:,"Mon Feb 23 11:01:17 2026"
Profile End Time:,"Mon Feb 23 11:01:53 2026"
Profile Duration:,"35.798 seconds"
Data Folder:,"/home/eshan/dev/sessions/AMDuProf-Attached-Hotspots_Feb-23-2026_11-01-17"
Virtual Machine:,"No"
Call Stack Sampling:,"False"
Selected View:,"Time based hotspots"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","10.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."


APPLICATION PERFORMANCE SNAPSHOT
Thread Count,"1"


"HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME" (seconds),Module
"[inlined] rcu_read_unlock",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] __folio_remove_rmap",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] vma_is_foreign",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN4core3ptr117drop_in_place$LT$alloc..collections..btree..map..IntoIter$LT$alloc..string..String$C$serde_json..value..Value$GT$$GT$17h0961f861ae84466eE.llvm.2658051192602730804",0.0200,"/home/eshan/dev/js/target/release/js"
"vma_alloc_folio",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"uncharge_folio",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"free_pages_and_swap_cache",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"count_memcg_events.constprop.0",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__mod_memcg_lruvec_state",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] _compound_head",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__mod_node_page_state",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"filemap_get_read_batch",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_RNvCshXwFllX56pT_7___rustc12___rust_alloc",0.0200,"/home/eshan/dev/js/target/release/js"
"ratatui::buffer::buffer::Buffer::set_style::h02b70b5833d9f911",0.0200,"/home/eshan/dev/js/target/release/js"
"_ZN100_$LT$unicode_segmentation..grapheme..Graphemes$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17hc4c0f2218d06acf0E",0.0200,"/home/eshan/dev/js/target/release/js"
"handle_mm_fault",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN10serde_core2de5impls79_$LT$impl$u20$serde_core..de..Deserialize$u20$for$u20$alloc..string..String$GT$11deserialize17h0be7c5d316d557afE",0.0200,"/home/eshan/dev/js/target/release/js"
"kthread_blkcg",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_raw_spin_unlock",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"pmd_val",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT$8grow_one17h26f29e4b20530ce4E",0.0200,"/home/eshan/dev/js/target/release/js"
"[inlined] get_current",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] folio_batch_add_and_move",0.0200,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] arch_atomic_read",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"rmqueue",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"folio_add_lru_vma",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"path_get",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"unicode_width::tables::lookup_width::ha5a6b17c4e5b66d9",0.0100,"/home/eshan/dev/js/target/release/js"
"finish_task_switch.isra.0",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"tty_release_checks",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"blk_cgroup_congested",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN86_$LT$ratatui..widgets..paragraph..Paragraph$u20$as$u20$ratatui..widgets..WidgetRef$GT$10render_ref17h8d2a10970806353cE",0.0100,"/home/eshan/dev/js/target/release/js"
"[inlined] mas_start",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"get_mem_cgroup_from_mm",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$11finish_grow17h118026cd8718437aE.llvm.14796116808809185035",0.0100,"/home/eshan/dev/js/target/release/js"
"_ZN4core3fmt3num3imp23_$LT$impl$u20$usize$GT$4_fmt17hd8e96676f14e1471E",0.0100,"/home/eshan/dev/js/target/release/js"
"[inlined] count_memcg_event_mm",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_ZN57_$LT$core..fmt..Formatter$u20$as$u20$core..fmt..Write$GT$9write_str17hef7ec55fc0bf44c4E",0.0100,"/home/eshan/dev/js/target/release/js"
"folio_add_lru",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] task_css",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"mas_update_gap.part.0",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__folio_throttle_swaprate",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] rcu_read_lock",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"[inlined] arch_local_save_flags",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"__rmqueue_pcplist",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
"_raw_spin_unlock_irqrestore",0.0100,"/usr/lib/debug/boot/vmlinux-6.8.0-85-generic"
